Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
b128,0,45.0,0,Capomulin,Female,9,22
f932,0,45.0,0,Ketapril,Male,15,29
g107,0,45.0,0,Ketapril,Female,2,29
a457,0,45.0,0,Ketapril,Female,11,30
c819,0,45.0,0,Ketapril,Male,21,25
h246,0,45.0,0,Ketapril,Male,13,30
p189,0,45.0,0,Ketapril,Male,8,28
n923,0,45.0,0,Ketapril,Male,19,30
q119,0,45.0,0,Ketapril,Male,17,30
f993,0,45.0,0,Naftisol,Male,21,28
z234,0,45.0,0,Naftisol,Female,19,27
b559,0,45.0,0,Naftisol,Male,20,26
y260,0,45.0,0,Ketapril,Female,7,25
x930,0,45.0,0,Naftisol,Male,13,26
o725,0,45.0,0,Naftisol,Male,4,26
z969,0,45.0,0,Naftisol,Male,9,30
v835,0,45.0,0,Naftisol,Male,7,29
r604,0,45.0,0,Naftisol,Male,7,30
n304,0,45.0,0,Naftisol,Male,9,26
l700,0,45.0,0,Naftisol,Female,18,27
x336,0,45.0,0,Naftisol,Female,4,29
l725,0,45.0,0,Naftisol,Female,8,26
m133,0,45.0,0,Naftisol,Female,2,26
v295,0,45.0,0,Naftisol,Female,2,27
a818,0,45.0,0,Naftisol,Female,12,28
y601,0,45.0,0,Naftisol,Female,23,25
t724,0,45.0,0,Naftisol,Female,2,25
k382,0,45.0,0,Ketapril,Male,22,29
w422,0,45.0,0,Ketapril,Female,18,26
c326,0,45.0,0,Infubinol,Female,18,25
c139,0,45.0,0,Infubinol,Male,11,28
v339,0,45.0,0,Infubinol,Male,20,26
a577,0,45.0,0,Infubinol,Female,6,25
y163,0,45.0,0,Infubinol,Female,17,27
k483,0,45.0,0,Infubinol,Female,20,30
k804,0,45.0,0,Infubinol,Female,23,29
o809,0,45.0,0,Infubinol,Male,3,25
z581,0,45.0,0,Infubinol,Female,24,25
a251,0,45.0,0,Infubinol,Female,21,25
i386,0,45.0,0,Infubinol,Female,23,29
c580,0,45.0,0,Ketapril,Male,22,25
q132,0,45.0,0,Infubinol,Female,1,30
u327,0,45.0,0,Ketapril,Male,17,25
v603,0,45.0,0,Ketapril,Female,22,30
f278,0,45.0,0,Ketapril,Male,12,30
g497,0,45.0,0,Ketapril,Male,19,28
d474,0,45.0,0,Ketapril,Male,18,27
o973,0,45.0,0,Ketapril,Female,11,29
c832,0,45.0,0,Ketapril,Male,18,29
o331,0,45.0,0,Ketapril,Male,24,30
m650,0,45.0,0,Ketapril,Male,15,27
v289,0,45.0,0,Ketapril,Female,3,26
m550,0,45.0,0,Ketapril,Male,18,28
h428,0,45.0,0,Ketapril,Female,1,27
r701,0,45.0,0,Naftisol,Male,21,25
v199,0,45.0,0,Naftisol,Female,17,29
x264,0,45.0,0,Naftisol,Female,21,27
f234,0,45.0,0,Stelasyn,Male,14,28
c458,0,45.0,0,Ramicane,Female,23,20
q610,0,45.0,0,Ramicane,Female,18,21
j913,0,45.0,0,Ramicane,Female,4,17
a411,0,45.0,0,Ramicane,Male,3,22
a444,0,45.0,0,Ramicane,Female,10,25
d251,0,45.0,0,Ramicane,Female,8,19
j989,0,45.0,0,Ramicane,Male,8,19
y449,0,45.0,0,Ramicane,Male,19,24
k403,0,45.0,0,Ramicane,Male,21,16
c758,0,45.0,0,Ramicane,Male,9,17
x402,0,45.0,0,Stelasyn,Male,21,28
r811,0,45.0,0,Ramicane,Male,9,19
a644,0,45.0,0,Ramicane,Female,7,17
i177,0,45.0,0,Ramicane,Male,10,18
g791,0,45.0,0,Ramicane,Male,11,16
a520,0,45.0,0,Ramicane,Male,13,21
u196,0,45.0,0,Ramicane,Male,18,25
m546,0,45.0,0,Ramicane,Male,18,16
w678,0,45.0,0,Ramicane,Female,5,24
n364,0,45.0,0,Ramicane,Male,4,17
s508,0,45.0,0,Ramicane,Male,1,17
e662,0,45.0,0,Ramicane,Male,8,24
z578,0,45.0,0,Ramicane,Male,11,16
r921,0,45.0,0,Ramicane,Female,5,25
a492,0,45.0,0,Stelasyn,Male,20,25
w540,0,45.0,0,Stelasyn,Female,8,26
v764,0,45.0,0,Stelasyn,Female,5,30
z795,0,45.0,0,Naftisol,Female,13,29
e291,0,45.0,0,Naftisol,Female,14,29
e584,0,45.0,0,Naftisol,Male,9,27
e213,0,45.0,0,Naftisol,Male,8,27
j755,0,45.0,0,Naftisol,Male,23,27
s565,0,45.0,0,Stelasyn,Female,3,29
a366,0,45.0,0,Stelasyn,Female,16,29
p387,0,45.0,0,Stelasyn,Male,3,30
b879,0,45.0,0,Stelasyn,Female,4,26
i901,0,45.0,0,Stelasyn,Male,23,29
k862,0,45.0,0,Stelasyn,Female,13,25
g867,0,45.0,0,Stelasyn,Female,9,25
s619,0,45.0,0,Stelasyn,Male,22,30
w697,0,45.0,0,Stelasyn,Female,14,30
j984,0,45.0,0,Stelasyn,Female,2,30
c402,0,45.0,0,Stelasyn,Female,1,27
h333,0,45.0,0,Stelasyn,Male,21,27
k510,0,45.0,0,Stelasyn,Female,8,27
p981,0,45.0,0,Stelasyn,Male,20,29
t451,0,45.0,0,Stelasyn,Male,8,29
a963,0,45.0,0,Stelasyn,Female,23,27
m269,0,45.0,0,Stelasyn,Female,22,28
z314,0,45.0,0,Stelasyn,Female,21,28
o848,0,45.0,0,Stelasyn,Female,14,27
v719,0,45.0,0,Infubinol,Female,17,30
q597,0,45.0,0,Ramicane,Male,20,25
c895,0,45.0,0,Infubinol,Female,7,29
a203,0,45.0,0,Infubinol,Female,20,23
f394,0,45.0,0,Zoniferol,Male,19,30
c264,0,45.0,0,Zoniferol,Female,11,27
n967,0,45.0,0,Zoniferol,Male,11,27
f545,0,45.0,0,Zoniferol,Female,20,26
k894,0,45.0,0,Zoniferol,Female,13,29
k754,0,45.0,0,Zoniferol,Female,8,26
g296,0,45.0,0,Zoniferol,Female,14,29
d164,0,45.0,0,Zoniferol,Male,21,28
w575,0,45.0,0,Zoniferol,Female,16,28
x613,0,45.0,0,Zoniferol,Female,2,29
q633,0,45.0,0,Zoniferol,Male,12,25
b313,0,45.0,0,Zoniferol,Male,12,27
f129,0,45.0,0,Zoniferol,Female,11,29
j365,0,45.0,0,Zoniferol,Male,24,28
p136,0,45.0,0,Zoniferol,Female,5,28
c559,0,45.0,0,Zoniferol,Female,19,28
a788,0,45.0,0,Zoniferol,Male,5,30
s337,0,45.0,0,Zoniferol,Male,14,27
q511,0,45.0,0,Zoniferol,Female,2,28
m331,0,45.0,0,Zoniferol,Female,19,26
o926,0,45.0,0,Zoniferol,Male,15,29
d133,0,45.0,0,Zoniferol,Male,5,30
n630,0,45.0,0,Propriva,Female,15,29
a401,0,45.0,0,Zoniferol,Female,8,25
w350,0,45.0,0,Propriva,Male,7,26
c302,0,45.0,0,Zoniferol,Female,10,29
a897,0,45.0,0,Placebo,Male,7,28
j235,0,45.0,0,Placebo,Male,6,30
q787,0,45.0,0,Placebo,Male,17,27
a262,0,45.0,0,Placebo,Female,17,29
r850,0,45.0,0,Placebo,Male,5,30
i669,0,45.0,0,Placebo,Female,18,27
n763,0,45.0,0,Placebo,Female,16,25
s152,0,45.0,0,Placebo,Female,4,30
c766,0,45.0,0,Placebo,Female,13,26
e227,0,45.0,0,Placebo,Male,1,30
c282,0,45.0,0,Placebo,Male,12,27
v989,0,45.0,0,Placebo,Male,4,25
w140,0,45.0,0,Zoniferol,Female,19,30
v409,0,45.0,0,Placebo,Female,16,25
l872,0,45.0,0,Placebo,Male,19,30
o795,0,45.0,0,Placebo,Female,20,26
y478,0,45.0,0,Placebo,Female,3,25
q582,0,45.0,0,Placebo,Male,5,30
s166,0,45.0,0,Placebo,Male,19,27
x773,0,45.0,0,Placebo,Female,21,30
w167,0,45.0,0,Placebo,Female,6,28
t718,0,45.0,0,Placebo,Female,10,30
o302,0,45.0,0,Placebo,Female,2,29
i477,0,45.0,0,Placebo,Female,3,30
c757,0,45.0,0,Placebo,Male,9,27
t994,0,45.0,0,Placebo,Male,14,30
p310,0,45.0,0,Propriva,Male,6,26
a699,0,45.0,0,Propriva,Female,5,28
k603,0,45.0,0,Propriva,Male,2,27
x822,0,45.0,0,Ceftamin,Male,3,29
l558,0,45.0,0,Ceftamin,Female,13,30
l733,0,45.0,0,Ceftamin,Female,4,30
f436,0,45.0,0,Ceftamin,Female,3,25
l490,0,45.0,0,Ceftamin,Male,24,26
b759,0,45.0,0,Ceftamin,Female,12,25
l471,0,45.0,0,Ceftamin,Female,7,28
y865,0,45.0,0,Ceftamin,Male,23,26
y769,0,45.0,0,Ceftamin,Female,6,27
l661,0,45.0,0,Ceftamin,Male,18,26
j296,0,45.0,0,Ceftamin,Female,24,30
u149,0,45.0,0,Ceftamin,Male,24,29
u153,0,45.0,0,Ceftamin,Female,11,25
w151,0,45.0,0,Ceftamin,Male,24,25
h531,0,45.0,0,Ceftamin,Male,5,27
a685,0,45.0,0,Infubinol,Male,8,30
o813,0,45.0,0,Infubinol,Male,24,28
m756,0,45.0,0,Infubinol,Male,19,30
n671,0,45.0,0,Infubinol,Male,18,25
s121,0,45.0,0,Infubinol,Male,23,26
v766,0,45.0,0,Infubinol,Male,16,27
w193,0,45.0,0,Infubinol,Male,22,30
e476,0,45.0,0,Infubinol,Male,23,26
w584,0,45.0,0,Infubinol,Male,3,29
b447,0,45.0,0,Ceftamin,Male,2,30
k210,0,45.0,0,Ceftamin,Male,15,28
a275,0,45.0,0,Ceftamin,Female,20,28
x581,0,45.0,0,Ceftamin,Female,19,28
n482,0,45.0,0,Propriva,Female,4,29
t198,0,45.0,0,Propriva,Male,22,26
l215,0,45.0,0,Propriva,Male,10,29
s141,0,45.0,0,Propriva,Male,8,25
o523,0,45.0,0,Propriva,Female,6,25
i635,0,45.0,0,Propriva,Male,21,26
w746,0,45.0,0,Propriva,Male,1,26
r107,0,45.0,0,Propriva,Female,2,28
s187,0,45.0,0,Propriva,Male,22,25
g570,0,45.0,0,Propriva,Male,16,29
x209,0,45.0,0,Propriva,Female,7,29
x111,0,45.0,0,Propriva,Female,24,27
z435,0,45.0,0,Propriva,Female,12,26
n678,0,45.0,0,Propriva,Male,5,29
g558,0,45.0,0,Propriva,Male,8,29
u946,0,45.0,0,Propriva,Male,5,30
o562,0,45.0,0,Propriva,Female,4,25
v991,0,45.0,0,Propriva,Female,10,30
c927,0,45.0,0,Propriva,Female,4,26
x226,0,45.0,0,Ceftamin,Male,23,28
p438,0,45.0,0,Ceftamin,Female,11,26
b487,0,45.0,0,Ceftamin,Female,6,28
o287,0,45.0,0,Ceftamin,Male,2,28
q483,0,45.0,0,Ceftamin,Male,6,26
t573,0,45.0,0,Ceftamin,Female,15,27
f345,0,45.0,0,Infubinol,Male,23,26
i334,0,45.0,0,Ramicane,Female,8,20
l264,0,45.0,0,Ketapril,Female,15,30
j246,0,45.0,0,Capomulin,Female,21,21
r554,0,45.0,0,Capomulin,Female,8,17
s185,0,45.0,0,Capomulin,Female,3,17
b742,0,45.0,0,Capomulin,Male,7,21
x401,0,45.0,0,Capomulin,Female,16,15
l509,0,45.0,0,Capomulin,Male,17,21
s710,0,45.0,0,Capomulin,Female,1,23
r157,0,45.0,0,Capomulin,Male,22,25
u364,0,45.0,0,Capomulin,Male,18,17
j119,0,45.0,0,Capomulin,Female,7,23
v923,0,45.0,0,Capomulin,Female,19,21
w914,0,45.0,0,Capomulin,Male,24,21
i738,0,45.0,0,Capomulin,Female,23,20
r944,0,45.0,0,Capomulin,Male,12,25
y793,0,45.0,0,Capomulin,Male,17,17
g316,0,45.0,0,Capomulin,Female,22,22
g288,0,45.0,0,Capomulin,Male,3,19
l897,0,45.0,0,Capomulin,Male,17,19
w150,0,45.0,0,Capomulin,Male,23,23
t565,0,45.0,0,Capomulin,Female,20,17
i557,0,45.0,0,Capomulin,Female,1,24
m957,0,45.0,0,Capomulin,Female,3,19
f966,0,45.0,0,Capomulin,Male,16,17
m601,0,45.0,0,Capomulin,Male,22,17
a275,5,46.79525728,0,Ceftamin,Female,20,28
w575,5,48.91385977,1,Zoniferol,Female,16,28
x822,5,45.67110442,1,Ceftamin,Male,3,29
l509,5,45.85119285,0,Capomulin,Male,17,21
n304,5,46.43121629,0,Naftisol,Male,9,26
d164,5,46.61767061,0,Zoniferol,Male,21,28
l897,5,45.46224327,0,Capomulin,Male,17,19
l558,5,45.80908882,0,Ceftamin,Female,13,30
g296,5,46.59323337,0,Zoniferol,Female,14,29
c458,5,45.72227949,0,Ramicane,Female,23,20
a401,5,46.11198591,0,Zoniferol,Female,8,25
l700,5,45.91837165,0,Naftisol,Female,18,27
f234,5,47.31349062,0,Stelasyn,Male,14,28
x613,5,46.09704058,0,Zoniferol,Female,2,29
u149,5,45.79206792,0,Ceftamin,Male,24,29
k210,5,47.91899771,0,Ceftamin,Male,15,28
x402,5,46.32757027,1,Stelasyn,Male,21,28
q610,5,45.62949421,0,Ramicane,Female,18,21
x581,5,47.1969266,0,Ceftamin,Female,19,28
a492,5,46.40914339,0,Stelasyn,Male,20,25
m133,5,46.62130127,0,Naftisol,Female,2,26
l725,5,48.73631881,1,Naftisol,Female,8,26
q633,5,47.18380215,0,Zoniferol,Male,12,25
f129,5,47.00059399,0,Zoniferol,Female,11,29
q483,5,46.77681624,1,Ceftamin,Male,6,26
a444,5,44.00597487,0,Ramicane,Female,10,25
v835,5,47.15601071,0,Naftisol,Male,7,29
r604,5,47.06774448,1,Naftisol,Male,7,30
f394,5,47.03309963,0,Zoniferol,Male,19,30
y865,5,46.73500592,1,Ceftamin,Male,23,26
d251,5,41.74635495,1,Ramicane,Female,8,19
b313,5,47.15443254,0,Zoniferol,Male,12,27
y769,5,46.42265176,1,Ceftamin,Female,6,27
z234,5,46.12935706,1,Naftisol,Female,19,27
b559,5,47.40989731,0,Naftisol,Male,20,26
f993,5,46.39575966,0,Naftisol,Male,21,28
q119,5,47.86444,0,Ketapril,Male,17,30
j989,5,45.62071835,1,Ramicane,Male,8,19
w150,5,39.20212894,0,Capomulin,Male,23,23
n923,5,45.82488099,0,Ketapril,Male,19,30
y449,5,45.87754494,0,Ramicane,Male,19,24
l661,5,46.26879904,0,Ceftamin,Male,18,26
c302,5,47.69067986,1,Zoniferol,Female,10,29
c264,5,45.79170389,0,Zoniferol,Female,11,27
l471,5,46.25187204,0,Ceftamin,Female,7,28
x930,5,46.07823375,0,Naftisol,Male,13,26
k754,5,45.7277604,0,Zoniferol,Female,8,26
f436,5,46.37079759,1,Ceftamin,Female,3,25
v295,5,46.11181797,1,Naftisol,Female,2,27
j913,5,44.01490022,0,Ramicane,Female,4,17
s710,5,43.1809774,0,Capomulin,Female,1,23
z969,5,49.33299873,0,Naftisol,Male,9,30
k894,5,47.64568674,0,Zoniferol,Female,13,29
l490,5,45.61253918,1,Ceftamin,Male,24,26
b759,5,48.00919049,0,Ceftamin,Female,12,25
a411,5,45.46667714,0,Ramicane,Male,3,22
f545,5,46.56581263,0,Zoniferol,Female,20,26
o725,5,46.88982098,0,Naftisol,Male,4,26
y601,5,48.47500273,1,Naftisol,Female,23,25
w914,5,45.89372032,0,Capomulin,Male,24,21
n967,5,46.07719173,1,Zoniferol,Male,11,27
l733,5,46.17422627,0,Ceftamin,Female,4,30
m601,5,41.40859145,1,Capomulin,Male,22,17
b487,5,46.21397739,0,Ceftamin,Female,6,28
o287,5,45.58680362,0,Ceftamin,Male,2,28
p310,5,46.55853236,1,Propriva,Male,6,26
r107,5,48.51342027,0,Propriva,Female,2,28
s565,5,48.24255218,0,Stelasyn,Female,3,29
w350,5,48.23211311,0,Propriva,Male,7,26
s187,5,47.57671761,1,Propriva,Male,22,25
j984,5,48.41072109,1,Stelasyn,Female,2,30
w697,5,48.30182261,1,Stelasyn,Female,14,30
j755,5,47.24284357,0,Naftisol,Male,23,27
g570,5,47.65642436,1,Propriva,Male,16,29
u364,5,45.76088647,1,Capomulin,Male,18,17
x209,5,46.75426887,0,Propriva,Female,7,29
c402,5,49.3426301,1,Stelasyn,Female,1,27
b742,5,41.53409702,0,Capomulin,Male,7,21
n630,5,46.09909969,0,Propriva,Female,15,29
e213,5,45.69925018,1,Naftisol,Male,8,27
a366,5,48.95136773,0,Stelasyn,Female,16,29
w746,5,49.45327005,0,Propriva,Male,1,26
s141,5,45.83113434,0,Propriva,Male,8,25
i901,5,46.49302392,0,Stelasyn,Male,23,29
t198,5,47.46126052,0,Propriva,Male,22,26
b879,5,49.15615628,1,Stelasyn,Female,4,26
k603,5,46.04211582,0,Propriva,Male,2,27
o523,5,45.54470008,0,Propriva,Female,6,25
v923,5,45.70443431,0,Capomulin,Female,19,21
f966,5,38.79647373,0,Capomulin,Male,16,17
p387,5,48.66763075,0,Stelasyn,Male,3,30
g867,5,46.88074916,0,Stelasyn,Female,9,25
i635,5,47.23593715,0,Propriva,Male,21,26
s619,5,46.60226878,0,Stelasyn,Male,22,30
a699,5,46.55308986,0,Propriva,Female,5,28
q132,5,46.7163985,1,Infubinol,Female,1,30
k862,5,49.20305786,0,Stelasyn,Female,13,25
h333,5,45.75172728,0,Stelasyn,Male,21,27
x401,5,45.47375302,0,Capomulin,Female,16,15
o926,5,46.76116373,0,Zoniferol,Male,15,29
c927,5,46.35184205,0,Propriva,Female,4,26
c559,5,46.56263793,0,Zoniferol,Female,19,28
r701,5,46.88697137,0,Naftisol,Male,21,25
j119,5,45.83899787,0,Capomulin,Female,7,23
p438,5,46.82793418,0,Ceftamin,Female,11,26
m269,5,49.0111801,0,Stelasyn,Female,22,28
a963,5,46.23350581,0,Stelasyn,Female,23,27
p136,5,49.27397096,0,Zoniferol,Female,5,28
t724,5,46.35925829,0,Naftisol,Female,2,25
z314,5,45.93471217,0,Stelasyn,Female,21,28
a818,5,45.69670864,0,Naftisol,Female,12,28
v764,5,47.05418474,0,Stelasyn,Female,5,30
j365,5,46.7112611,0,Zoniferol,Male,24,28
i557,5,42.2616653,0,Capomulin,Female,1,24
x264,5,47.0384145,0,Naftisol,Female,21,27
v991,5,49.21432799,1,Propriva,Female,10,30
a788,5,47.00658024,0,Zoniferol,Male,5,30
x111,5,46.94101498,1,Propriva,Female,24,27
k510,5,46.6084671,0,Stelasyn,Female,8,27
z435,5,47.11597963,0,Propriva,Female,12,26
e584,5,45.6569785,0,Naftisol,Male,9,27
m331,5,45.52301371,1,Zoniferol,Female,19,26
n678,5,47.55428429,0,Propriva,Male,5,29
p981,5,47.00062717,0,Stelasyn,Male,20,29
g558,5,46.18874193,0,Propriva,Male,8,29
e291,5,46.14250486,0,Naftisol,Female,14,29
q511,5,45.83265378,0,Zoniferol,Female,2,28
u946,5,45.9918078,1,Propriva,Male,5,30
z795,5,46.83347493,0,Naftisol,Female,13,29
t451,5,48.04713882,0,Stelasyn,Male,8,29
s337,5,46.84985157,0,Zoniferol,Male,14,27
o562,5,46.51495016,1,Propriva,Female,4,25
w540,5,45.88537038,1,Stelasyn,Female,8,26
w140,5,47.71795156,0,Zoniferol,Female,19,30
l215,5,49.48194935,1,Propriva,Male,10,29
y793,5,41.01991315,0,Capomulin,Male,17,17
n763,5,46.08598142,0,Placebo,Female,16,25
a203,5,48.5084684,0,Infubinol,Female,20,23
w584,5,46.05193075,0,Infubinol,Male,3,29
y163,5,48.28497016,0,Infubinol,Female,17,27
o973,5,46.71787727,0,Ketapril,Female,11,29
o795,5,46.76092721,1,Placebo,Female,20,26
w422,5,48.45745927,0,Ketapril,Female,18,26
e662,5,45.81628252,0,Ramicane,Male,8,24
g791,5,45.85153062,0,Ramicane,Male,11,16
c580,5,46.6284548,0,Ketapril,Male,22,25
e476,5,47.11180113,0,Infubinol,Male,23,26
k483,5,46.61105571,0,Infubinol,Female,20,30
y478,5,48.64107818,1,Placebo,Female,3,25
i669,5,46.76466824,1,Placebo,Female,18,27
d474,5,45.91835225,0,Ketapril,Male,18,27
w193,5,45.49385802,0,Infubinol,Male,22,30
q582,5,45.95539895,1,Placebo,Male,5,30
s166,5,47.18678778,0,Placebo,Male,19,27
o331,5,47.05966408,1,Ketapril,Male,24,30
k382,5,46.27499735,1,Ketapril,Male,22,29
k804,5,48.26620364,0,Infubinol,Female,23,29
r850,5,46.86291194,0,Placebo,Male,5,30
g316,5,44.02275246,0,Capomulin,Female,22,22
v766,5,48.15125091,1,Infubinol,Male,16,27
g497,5,48.78206878,0,Ketapril,Male,19,28
a520,5,38.72370695,0,Ramicane,Male,13,21
x773,5,45.8508307,1,Placebo,Female,21,30
m550,5,49.05409736,1,Ketapril,Male,18,28
t994,5,47.8914871,0,Placebo,Male,14,30
n364,5,45.52187471,0,Ramicane,Male,4,17
l264,5,46.66876646,0,Ketapril,Female,15,30
e227,5,47.23801112,0,Placebo,Male,1,30
c326,5,36.3213458,0,Infubinol,Female,18,25
r157,5,45.59706359,0,Capomulin,Male,22,25
c766,5,47.31305537,0,Placebo,Female,13,26
v719,5,47.18836325,0,Infubinol,Female,17,30
w678,5,43.16637266,0,Ramicane,Female,5,24
c139,5,48.75311208,0,Infubinol,Male,11,28
m546,5,42.99887638,0,Ramicane,Male,18,16
v339,5,46.25011212,0,Infubinol,Male,20,26
s152,5,47.4590529,1,Placebo,Female,4,30
m650,5,48.56249492,1,Ketapril,Male,15,27
c282,5,45.72568973,0,Placebo,Male,12,27
v989,5,48.85813451,0,Placebo,Male,4,25
r944,5,45.73714484,0,Capomulin,Male,12,25
r554,5,45.78174579,1,Capomulin,Female,8,17
c895,5,45.47754399,0,Infubinol,Female,7,29
v409,5,46.22079642,0,Placebo,Female,16,25
u196,5,45.55746444,1,Ramicane,Male,18,25
c832,5,48.68546123,1,Ketapril,Male,18,29
v289,5,46.20446003,0,Ketapril,Female,3,26
a897,5,45.69112405,1,Placebo,Male,7,28
f345,5,45.5911466,0,Infubinol,Male,23,26
s508,5,38.71187185,0,Ramicane,Male,1,17
a577,5,46.1977199,1,Infubinol,Female,6,25
z578,5,42.18878662,0,Ramicane,Male,11,16
i177,5,44.06539783,0,Ramicane,Male,10,18
a644,5,45.55015754,0,Ramicane,Female,7,17
c757,5,47.78327981,0,Placebo,Male,9,27
s185,5,43.87849569,0,Capomulin,Female,3,17
i738,5,45.59568527,0,Capomulin,Female,23,20
m756,5,47.01036401,1,Infubinol,Male,19,30
o813,5,45.69933088,0,Infubinol,Male,24,28
j246,5,45.64143788,0,Capomulin,Female,21,21
a685,5,46.87048256,0,Infubinol,Male,8,30
r811,5,45.62580225,0,Ramicane,Male,9,19
h246,5,49.47041702,0,Ketapril,Male,13,30
q597,5,45.76611104,0,Ramicane,Male,20,25
a251,5,46.98212719,0,Infubinol,Female,21,25
q787,5,47.11661587,0,Placebo,Male,17,27
c758,5,45.5786783,0,Ramicane,Male,9,17
u327,5,45.69418805,0,Ketapril,Male,17,25
t565,5,45.8956472,0,Capomulin,Female,20,17
c819,5,45.76924864,1,Ketapril,Male,21,25
o302,5,48.93701188,0,Placebo,Female,2,29
h531,5,47.7846818,0,Ceftamin,Male,5,27
i477,5,46.65738471,0,Placebo,Female,3,30
w151,5,45.54607595,1,Ceftamin,Male,24,25
y260,5,46.79983867,0,Ketapril,Female,7,25
r921,5,45.56821083,0,Ramicane,Female,5,25
a457,5,47.462891,0,Ketapril,Female,11,30
j296,5,46.79925591,1,Ceftamin,Female,24,30
w167,5,48.78627194,0,Placebo,Female,6,28
a262,5,48.71756819,1,Placebo,Female,17,29
b128,5,45.65133131,0,Capomulin,Female,9,22
n671,5,47.35388938,0,Infubinol,Male,18,25
g288,5,45.83939976,0,Capomulin,Male,3,19
v603,5,46.01600593,0,Ketapril,Female,22,30
i334,5,41.02051821,0,Ramicane,Female,8,20
k403,5,38.82589807,0,Ramicane,Male,21,16
p189,5,49.04870704,1,Ketapril,Male,8,28
o809,5,46.87724316,0,Infubinol,Male,3,25
g107,5,48.79166496,0,Ketapril,Female,2,29
t718,5,45.92125272,1,Placebo,Female,10,30
i386,5,46.85369669,1,Infubinol,Female,23,29
s121,5,45.63566174,1,Infubinol,Male,23,26
z581,5,49.27309187,1,Infubinol,Female,24,25
f278,5,48.19457788,0,Ketapril,Male,12,30
j235,5,46.58881978,0,Placebo,Male,6,30
m957,5,45.62238149,1,Capomulin,Female,3,19
e291,10,48.52974125,1,Naftisol,Female,14,29
u946,10,46.73050592,1,Propriva,Male,5,30
g558,10,50.09475382,0,Propriva,Male,8,29
i386,10,49.86154739,2,Infubinol,Female,23,29
e584,10,47.25064148,0,Naftisol,Male,9,27
o523,10,47.0810859,1,Propriva,Female,6,25
i635,10,48.68575605,1,Propriva,Male,21,26
b879,10,50.33894583,1,Stelasyn,Female,4,26
u327,10,49.23525948,0,Ketapril,Male,17,25
n678,10,49.14570866,1,Propriva,Male,5,29
r554,10,39.0054935,2,Capomulin,Female,8,17
z435,10,48.71066147,0,Propriva,Female,12,26
s565,10,52.7775271,0,Stelasyn,Female,3,29
g497,10,49.6470865,0,Ketapril,Male,19,28
s187,10,48.14635121,1,Propriva,Male,22,25
o809,10,48.6707318,0,Infubinol,Male,3,25
z581,10,50.47875016,2,Infubinol,Female,24,25
r107,10,49.18601052,0,Propriva,Female,2,28
k804,10,49.47124419,0,Infubinol,Female,23,29
a366,10,53.52399007,0,Stelasyn,Female,16,29
j755,10,48.16706083,0,Naftisol,Male,23,27
g570,10,49.18823167,1,Propriva,Male,16,29
